Estrutura,Método,Tipo de Dados,score ns/op,error ns/op,score ms/op,Score MB/sec,Errors MB/sec
BTree,Insert All,Sem repetições Ordenados,"400114145,8","± 3723351,147","400,11415","39,604","± 0,417"
SplayTree,Insert All,Sem repetições Ordenados,"89080878,2","± 1855438,262","89,08088","194,058","± 3,632"
TreeMap,Insert All,Sem repetições Ordenados,"62534653,76","± 1257039,696","62,53465","491,928","± 8,59"
BTree,Insert One,Sem repetições Ordenados,"904,943","± 117,357","0,0009","87,422","± 5,778"
SplayTree,Insert One,Sem repetições Ordenados,"2372,27","± 35,204","0,00237","62,417","± 0,585"
TreeMap,Insert One,Sem repetições Ordenados,"1423,543","± 43,062","0,00142","105,653","± 2,279"
BTree,Remove All,Sem repetições Ordenados,"2649695,892","± 18203,762","2,6497","17,66","± 0,020 "
SplayTree,Remove All,Sem repetições Ordenados,"3863710,893","± 87619,043","3,86371","3804,796","± 104,005"
TreeMap,Remove All,Sem repetições Ordenados,"3868415,537","± 75237,574","3,86842","3751,382","± 79,036"
BTree,Remove One,Sem repetições Ordenados,"412,617","± 4,729","0,00041","143,947","± 1,432"
SplayTree,Remove One,Sem repetições Ordenados,"1172,583","± 24,643","0,00117","78,351","± 1,655"
TreeMap,Remove One,Sem repetições Ordenados,"811,947","± 48,544","0,00081","107,933","± 4,992"
BTree,Search All,Sem repetições Ordenados,"254886628,5","± 4086180,949","254,88663","17,312","± 0,107"
SplayTree,Search All,Sem repetições Ordenados,"73811722,43","± 4417418,14","73,81172","223,895","± 12,125"
TreeMap,Search All,Sem repetições Ordenados,"57552969,57","± 699032,864","57,55297","278,378","± 2,891"
BTree,Search One,Sem repetições Ordenados,"374,57","± 3,706","0,00037","156,995","± 1,367"
SplayTree,Search One,Sem repetições Ordenados,"1182,054","± 23,141","0,00118","77,755","± 1,548"
TreeMap,Search One,Sem repetições Ordenados,"778,767","± 51,357","0,00078","111,48","± 5,464"
BTree,Insert All,Sem repetições Desordenados,"687108194,8","± 5020043,337","687,10819","27,977","± 0,162"
SplayTree,Insert All,Sem repetições Desordenados,1120237913,"± 8877711,416","1120,23791","32,021","± 0,234"
TreeMap,Insert All,Sem repetições Desordenados,"625547206,4","± 7967293,511","625,54721","69,381","± 0,564"
BTree,Insert One,Sem repetições Desordenados,"767,809"," ± 3,677","0,00077","89,638","± 0,504"
SplayTree,Insert One,Sem repetições Desordenados,"2563,359","± 54,551","0,00256","47,468","± 0,798"
TreeMap,Insert One,Sem repetições Desordenados,"1461,403","± 33,505","0,00146","91,95","± 1,823"
BTree,Remove All,Sem repetições Desordenados,"3825532,83","± 234708,448","3,82553","15,325","± 0,041"
SplayTree,Remove All,Sem repetições Desordenados,"4985337,283","± 149460,505","4,98534","2395,523","± 71,24"
TreeMap,Remove All,Sem repetições Desordenados,"4853198,119","± 109444,281","4,8532","2662,63","± 59,014"
BTree,Remove One,Sem repetições Desordenados,"396,955","± 4,861","0,0004","136,06","± 1,522"
SplayTree,Remove One,Sem repetições Desordenados,"1371,984","± 25,994","0,00137","57,508","± 0,817"
TreeMap,Remove One,Sem repetições Desordenados,"813,522","± 35,366","0,00081","95,523","± 3,378"
BTree,Search All,Sem repetições Desordenados,"388941031,6","± 5108372,819","388,94103","14,721","± 0,142"
SplayTree,Search All,Sem repetições Desordenados,1186828933,"± 19871939,432","1186,82893","26,729","± 0,299"
TreeMap,Search All,Sem repetições Desordenados,"636481720,3","± 11869227,156","636,48172","43,42","± 0,603"
BTree,Search One,Sem repetições Desordenados,"399,437","± 4,500","0,0004","135,432","± 1,371"
SplayTree,Search One,Sem repetições Desordenados,"1379,265","± 23,993","0,00138","57,214","± 0,802"
TreeMap,Search One,Sem repetições Desordenados,"851,535","± 37,916","0,00085","92,077","± 3,481"
BTree,Insert All,Com repetições Ordenados,"291597547,7","± 1090691,850","291,59755","60,951","± 0,449"
SplayTree,Insert All,Com repetições Ordenados,"58539686,55","± 710810,875","58,53969","265,893","± 3,184"
TreeMap,Insert All,Com repetições Ordenados,"55659412,27","± 834733,688","55,65941","537,795","± 7,97"
BTree,Insert One,Com repetições Ordenados,"906,468","± 110,352","0,00091","89,184","± 6,530"
SplayTree,Insert One,Com repetições Ordenados,"3556,729","± 47,973","0,00356","43,228","± 0,37"
TreeMap,Insert One,Com repetições Ordenados,"2189,171","± 25,923","0,00219","71,264","± 0,665"
BTree,Remove All,Com repetições Ordenados,"2688321,069","± 20524,216 ","2,68832","17,668","± 0,016"
SplayTree,Remove All,Com repetições Ordenados,"9153133,437","± 73153,884","9,15313","1605,596","± 11,03"
TreeMap,Remove All,Com repetições Ordenados,"6868775,654","± 1179567,487","6,86878","608,755","± 360,93"
BTree,Remove One,Com repetições Ordenados,"409,871","± 7,613","0,00041","145,041","± 2,375"
SplayTree,Remove One,Com repetições Ordenados,"503,54","± 18,864","0,0005","145,619","± 4,973"
TreeMap,Remove One,Com repetições Ordenados,"288,257","± 4,586","0,00029","240,823","± 3,017"
BTree,Search All,Com repetições Ordenados,"229470028,2","± 4545153,635","229,47003","17,3","± 0,083"
SplayTree,Search All,Com repetições Ordenados,"49387705,35","± 2605022,959","49,38771","312,381","± 18,246"
TreeMap,Search All,Com repetições Ordenados,"46750453,12","± 1220419,627","46,75045","196,543","± 72,405"
BTree,Search One,Com repetições Ordenados,"340,133","± 3,936","0,00034","170,984","± 1,704"
SplayTree,Search One,Com repetições Ordenados,"505,137","± 20,476","0,00051","145,221","± 5,045"
TreeMap,Search One,Com repetições Ordenados,"294,544","± 4,522","0,00029","235,951","± 3,187"
BTree,Insert All,Com repetições Desordenados,"318024693,1","± 1759472,077","318,02469","52,581","± 0,292"
SplayTree,Insert All,Com repetições Desordenados,"63686824,17","± 1037139,941","63,68682","244,377","± 3,654"
TreeMap,Insert All,Com repetições Desordenados,"62020836,5","± 583564,915","62,02084","486,352","± 4,321"
BTree,Insert One,Com repetições Desordenados,"774,555","± 2,365","0,00077","91,138","± 0,244"
SplayTree,Insert One,Com repetições Desordenados,"3561,588","± 46,044","0,00356","42,985","± 0,376"
TreeMap,Insert One,Com repetições Desordenados,"2207,548","± 20,602","0,00221","70,895","± 0,518"
BTree,Remove All,Com repetições Desordenados,"3942095,659","± 80361,583","3,9421","15,573","± 0,022"
SplayTree,Remove All,Com repetições Desordenados,"9109482,721","± 67523,447","9,10948","1607,562","± 12,638"
TreeMap,Remove All,Com repetições Desordenados,"6011370,272","± 984402,845","6,01137","310,499","± 290,873"
BTree,Remove One,Com repetições Desordenados,"396,495","± 5,641","0,0004","137,654","± 1,663"
SplayTree,Remove One,Com repetições Desordenados,"682,943","± 39,931","0,00068","112,364","± 6,041"
TreeMap,Remove One,Com repetições Desordenados,"309,124","± 6,082","0,00031","227,013","± 3,717"
BTree,Search All,Com repetições Desordenados,"246874649,8","± 3454832,795","246,87465","15,205","± 0,054"
SplayTree,Search All,Com repetições Desordenados,"59140145,43","± 3536451,445","59,14015","264,014","± 17,92"
TreeMap,Search All,Com repetições Desordenados,"49438173,97","± 1241622,405","49,43817","73,165","± 53,589"
BTree,Search One,Com repetições Desordenados,"379,802","± 5,740","0,00038","143,082","± 1,975"
SplayTree,Search One,Com repetições Desordenados,"676,018","± 41,376","0,00068","113,332","± 6,456"
TreeMap,Search One,Com repetições Desordenados,"306,381","± 7,495","0,00031","228,386","± 4,932"